customer_id,avg_session_time,pages_per_session,cart_abandon_rate,return_rate,support_tickets,review_score,behavior_churn_signal
CUST005738,7.39,1,0.85,0.19,3,3.14,0
CUST005739,13.33,14,0.35,0.15,9,2.9,0
CUST005740,5.08,13,0.28,0.03,7,2.22,1
CUST005741,7.09,4,0.96,0.29,1,4.15,0
CUST005742,1.86,15,0.11,0.41,7,3.49,1
CUST005743,4.63,13,0.4,0.27,9,4.37,0
CUST005744,2.15,1,0.6,0.36,8,4.91,0
CUST005745,16.34,7,0.28,0.35,10,4.05,0
CUST005746,14.86,17,0.82,0.45,5,1.39,1
CUST005747,2.99,16,0.8,0.13,8,1.23,0
CUST005748,8.62,15,0.82,0.06,9,3.69,1
CUST005749,1.07,5,0.11,0.18,1,1.33,0
CUST005750,17.07,23,0.86,0.38,10,1.97,1
CUST005751,10.94,13,0.18,0.14,3,3.06,1
CUST005752,14.97,12,0.09,0.15,6,4.71,0
CUST005753,9.15,23,0.94,0.5,4,3.11,0
CUST005754,6.47,13,0.79,0.08,9,2.01,0
CUST005755,15.91,1,0.43,0.1,10,3.6,0
CUST005756,14.92,8,0.13,0.14,10,1.89,0
CUST005757,8.22,15,0.76,0.36,0,3.65,0
CUST005758,1.12,12,0.14,0.11,5,2.09,1
CUST005759,3.78,16,0.41,0.04,6,4.0,0
CUST005760,15.97,14,0.57,0.04,1,4.56,0
CUST005761,19.35,12,0.2,0.35,3,4.37,0
CUST005762,11.26,9,0.32,0.24,7,3.05,1
CUST005763,8.61,8,0.93,0.37,9,1.97,0
CUST005764,12.13,20,0.69,0.07,8,2.43,0
CUST005765,18.21,2,0.57,0.11,6,1.49,0
CUST005766,10.85,25,0.55,0.17,3,3.52,1
CUST005767,2.31,6,0.15,0.27,1,1.25,0
CUST005768,17.74,18,0.14,0.34,0,2.56,1
CUST005769,8.6,17,0.76,0.25,4,3.9,0
CUST005770,10.6,10,0.59,0.38,2,3.43,0
CUST005771,12.7,9,0.79,0.47,2,2.51,1
CUST005772,11.97,10,0.09,0.18,2,2.65,0
CUST005773,16.87,8,0.51,0.37,1,1.08,0
CUST005774,9.83,19,0.9,0.11,10,1.13,0
CUST005775,9.23,24,0.7,0.23,2,2.84,1
CUST005776,13.73,16,0.25,0.38,6,1.61,0
CUST005777,8.52,8,0.66,0.41,0,4.17,0
CUST005778,14.71,7,0.36,0.06,9,1.87,0
CUST005779,17.43,3,0.86,0.48,1,1.3,1
CUST005780,11.2,6,0.65,0.36,8,3.58,1
CUST005781,15.63,15,0.36,0.09,8,1.82,0
CUST005782,1.23,24,0.35,0.05,2,2.29,1
CUST005783,12.94,6,0.89,0.42,3,2.01,0
CUST005784,3.55,11,0.19,0.49,2,3.2,0
CUST005785,4.47,17,0.84,0.2,0,4.6,1
CUST005786,5.95,2,0.39,0.25,6,4.57,1
CUST005787,17.51,2,0.57,0.11,7,2.61,1
CUST005788,19.54,5,0.61,0.39,3,2.8,0
CUST005789,11.11,12,0.43,0.35,9,4.41,0
CUST005790,10.64,15,0.48,0.17,3,1.71,0
CUST005791,18.85,23,0.32,0.4,1,3.86,0
CUST005792,16.03,6,0.94,0.31,10,4.59,0
CUST005793,4.19,2,0.63,0.39,1,2.09,0
CUST005794,15.07,5,0.78,0.42,0,2.25,1
CUST005795,13.95,17,0.3,0.37,7,2.85,0
CUST005796,12.35,13,0.42,0.08,8,1.71,0
CUST005797,2.47,13,0.62,0.42,8,1.08,1
CUST005798,2.26,21,0.46,0.37,8,1.63,1
CUST005799,6.16,20,0.23,0.2,9,1.9,0
CUST005800,7.7,24,0.73,0.31,6,1.32,0
CUST005801,13.12,17,0.48,0.47,6,2.16,1
CUST005802,14.8,16,0.73,0.11,2,4.61,0
CUST005803,10.33,7,0.68,0.07,1,2.03,1
CUST005804,12.14,12,0.32,0.25,4,2.5,1
CUST005805,13.17,14,0.49,0.0,6,3.6,0
CUST005806,9.02,12,0.34,0.05,0,1.88,0
CUST005807,5.25,7,0.94,0.22,0,1.17,1
CUST005808,3.64,25,0.08,0.29,10,1.75,0
CUST005809,10.47,15,0.37,0.4,9,2.28,0
CUST005810,9.71,24,0.72,0.22,2,4.17,0
CUST005811,13.57,10,0.41,0.25,6,4.87,0
CUST005812,13.57,1,0.9,0.09,3,2.93,0
CUST005813,18.26,9,0.32,0.48,7,1.39,1
CUST005814,18.15,23,0.45,0.04,7,4.52,0
CUST005815,5.79,7,0.02,0.07,7,3.64,1
CUST005816,19.58,2,0.11,0.23,3,1.72,0
CUST005817,15.16,21,0.12,0.12,1,1.79,0
CUST005818,11.5,2,0.87,0.26,5,1.23,1
CUST005819,11.7,13,0.8,0.07,10,1.29,0
CUST005820,4.57,3,0.75,0.3,9,3.16,1
CUST005821,5.74,17,0.33,0.48,8,1.96,0
CUST005822,18.13,16,0.58,0.06,1,2.87,0
CUST005823,19.02,7,0.42,0.43,4,2.03,0
CUST005824,11.85,6,0.84,0.46,0,2.94,0
CUST005825,13.15,5,0.0,0.13,8,2.11,1
CUST005826,2.78,1,0.28,0.16,8,4.88,1
CUST005827,13.7,17,0.43,0.49,5,1.61,1
CUST005828,10.04,13,0.65,0.03,5,3.87,0
CUST005829,2.9,15,0.14,0.08,5,4.72,0
CUST005830,13.98,10,0.66,0.28,5,2.17,1
CUST005831,12.8,17,0.41,0.07,9,3.76,0
CUST005832,3.46,15,0.19,0.41,7,3.64,0
CUST005833,12.99,17,0.42,0.2,0,3.76,0
CUST005834,15.06,18,0.51,0.48,9,4.82,0
CUST005835,8.84,5,0.82,0.27,6,3.05,0
CUST005836,2.04,23,0.57,0.45,7,4.12,0
CUST005837,15.94,21,0.16,0.18,4,1.93,1
CUST005838,7.0,25,0.58,0.18,3,3.24,1
CUST005839,9.33,13,0.29,0.05,4,4.57,0
CUST005840,1.22,2,0.0,0.41,0,4.99,0
CUST005841,14.81,5,0.02,0.11,3,4.89,0
CUST005842,16.36,7,0.57,0.12,6,1.06,0
CUST005843,1.4,5,0.61,0.01,6,4.97,0
CUST005844,4.48,9,0.71,0.08,3,3.16,1
CUST005845,2.53,3,0.77,0.29,2,1.34,0
CUST005846,17.12,9,0.55,0.46,7,4.67,0
CUST005847,18.49,8,0.08,0.06,7,4.95,0
CUST005848,10.26,6,0.24,0.38,10,2.06,0
CUST005849,14.82,3,0.84,0.39,10,2.1,0
CUST005850,8.63,11,0.41,0.25,9,1.67,0
CUST005851,9.6,12,0.51,0.27,7,4.28,0
CUST005852,10.83,9,0.23,0.33,9,4.19,0
CUST005853,7.07,24,0.65,0.07,5,2.37,1
CUST005854,18.28,11,0.91,0.29,8,3.81,1
CUST005855,17.23,22,0.96,0.24,9,3.25,0
CUST005856,8.9,9,0.07,0.21,9,4.16,0
CUST005857,16.29,8,0.89,0.03,3,3.11,0
CUST005858,3.04,14,0.2,0.45,7,2.99,1
CUST005859,15.41,17,0.06,0.21,4,3.7,0
CUST005860,3.53,24,0.33,0.03,6,3.61,1
CUST005861,19.45,19,0.83,0.49,4,4.38,0
CUST005862,17.25,9,0.58,0.26,1,2.63,0
CUST005863,16.54,18,0.18,0.03,3,4.79,0
CUST005864,1.07,8,0.98,0.36,3,2.31,1
CUST005865,14.26,5,0.82,0.12,1,4.08,0
CUST005866,16.28,17,0.25,0.02,5,1.82,0
CUST005867,4.81,13,0.07,0.36,6,2.52,0
CUST005868,17.8,10,0.25,0.23,1,3.56,0
CUST005869,17.67,20,0.52,0.19,7,4.47,0
CUST005870,6.89,22,0.08,0.22,1,4.14,0
CUST005871,1.58,2,0.59,0.3,6,4.71,1
CUST005872,6.44,14,0.28,0.22,2,2.43,1
CUST005873,14.99,1,0.64,0.38,5,4.28,0
CUST005874,18.54,4,0.43,0.49,4,1.86,1
CUST005875,14.57,16,0.53,0.41,6,2.91,0
CUST005876,15.89,13,0.93,0.37,6,4.1,0
CUST005877,2.28,10,0.2,0.49,3,3.77,0
CUST005878,11.67,6,0.37,0.02,5,2.48,1
CUST005879,10.48,11,0.21,0.09,9,3.03,0
CUST005880,12.13,3,0.24,0.29,1,4.6,1
CUST005881,9.99,24,0.86,0.46,0,1.37,1
CUST005882,2.82,14,0.48,0.29,7,2.7,0
CUST005883,7.2,23,0.64,0.0,10,4.87,1
CUST005884,5.41,2,0.92,0.05,0,1.95,1
CUST005885,5.46,2,1.0,0.0,2,3.56,1
CUST005886,17.52,12,0.67,0.18,10,4.83,0
CUST005887,17.98,23,0.43,0.29,5,4.87,0
CUST005888,19.67,3,0.45,0.42,0,2.21,1
CUST005889,8.06,10,0.16,0.1,5,3.63,1
CUST005890,10.7,19,0.23,0.2,1,2.49,0
CUST005891,19.76,20,0.85,0.19,0,4.66,0
CUST005892,7.51,7,0.67,0.48,2,2.56,0
CUST005893,13.92,16,0.3,0.13,1,3.3,0
CUST005894,19.61,10,0.45,0.47,9,4.66,0
CUST005895,5.82,3,0.4,0.32,9,3.07,0
CUST005896,2.82,3,0.99,0.38,7,2.75,0
CUST005897,12.75,9,0.09,0.25,2,4.72,0
CUST005898,18.04,23,0.34,0.27,8,3.79,1
CUST005899,7.46,20,0.06,0.25,3,3.41,0
CUST005900,1.11,2,0.1,0.1,6,2.39,0
CUST005901,11.28,22,0.29,0.14,2,4.48,0
CUST005902,3.76,15,0.5,0.48,5,3.5,0
CUST005903,14.63,10,0.43,0.01,4,3.58,0
CUST005904,13.01,13,0.11,0.23,6,4.66,0
CUST005905,4.9,8,0.46,0.23,4,4.24,0
CUST005906,16.67,7,0.76,0.18,3,1.29,0
CUST005907,7.64,23,0.68,0.35,2,4.86,1
CUST005908,9.62,2,0.63,0.27,9,1.6,0
CUST005909,9.76,5,0.54,0.48,1,2.47,0
CUST005910,19.62,5,0.54,0.12,2,1.77,0
CUST005911,3.69,10,0.45,0.01,5,2.78,0
CUST005912,19.78,19,0.67,0.38,3,1.48,0
CUST005913,9.99,14,0.29,0.45,6,1.73,1
CUST005914,9.72,21,0.59,0.26,10,4.32,0
CUST005915,5.4,18,0.38,0.4,9,3.11,0
CUST005916,8.64,23,0.03,0.38,3,4.89,0
CUST005917,12.79,21,0.86,0.26,0,1.93,1
CUST005918,1.27,13,0.65,0.25,3,4.13,1
CUST005919,14.2,2,0.99,0.26,0,2.71,0
CUST005920,6.45,9,0.48,0.44,6,1.17,1
CUST005921,19.58,16,0.99,0.3,7,2.33,0
CUST005922,5.24,13,0.28,0.03,5,2.9,0
CUST005923,2.09,11,0.72,0.19,6,1.8,0
CUST005924,11.35,25,0.97,0.35,9,2.97,0
CUST005925,15.76,6,0.74,0.45,0,1.82,0
CUST005926,17.32,6,0.3,0.47,4,2.12,1
CUST005927,18.61,16,0.96,0.07,5,4.9,1
CUST005928,2.63,5,0.22,0.22,3,4.97,0
CUST005929,10.28,16,0.55,0.35,4,4.87,0
CUST005930,15.88,24,0.22,0.15,2,1.39,0
CUST005931,13.24,25,0.18,0.13,0,4.55,0
CUST005932,7.21,23,0.57,0.2,5,1.3,0
CUST005933,7.89,12,0.41,0.45,5,2.3,1
CUST005934,8.21,16,0.78,0.38,8,4.19,1
CUST005935,19.12,5,0.8,0.2,5,4.29,0
CUST005936,10.66,24,0.28,0.15,8,1.9,0
CUST005937,3.75,13,0.18,0.03,8,4.55,0
CUST005938,18.69,20,0.59,0.42,9,1.73,1
CUST005939,18.13,25,0.51,0.03,0,1.57,0
CUST005940,6.87,24,0.04,0.15,9,1.24,0
CUST005941,5.48,18,0.27,0.5,7,1.94,1
CUST005942,5.54,11,0.69,0.43,0,2.55,1
CUST005943,17.64,21,0.34,0.1,1,2.32,0
CUST005944,12.58,14,0.37,0.34,7,1.95,0
CUST005945,14.32,20,0.35,0.23,9,3.23,0
CUST005946,14.04,11,0.24,0.42,9,3.89,0
CUST005947,5.45,9,0.97,0.33,4,2.81,0
CUST005948,3.99,2,0.53,0.08,3,2.72,0
CUST005949,8.77,19,0.72,0.1,4,4.29,1
CUST005950,7.2,1,0.44,0.39,8,3.5,0
CUST005951,6.85,8,0.39,0.15,7,3.38,1
CUST005952,7.32,1,0.73,0.29,6,1.58,1
CUST005953,6.9,3,0.22,0.2,4,3.06,0
CUST005954,10.63,18,0.75,0.09,6,4.79,1
CUST005955,7.51,24,0.3,0.34,10,4.22,0
CUST005956,8.19,25,0.75,0.44,9,4.07,0
CUST005957,1.65,16,0.83,0.39,9,3.68,1
CUST005958,15.44,22,0.98,0.22,8,1.27,1
CUST005959,9.76,4,0.05,0.15,3,3.35,0
CUST005960,6.88,13,0.69,0.41,8,2.68,0
CUST005961,18.1,6,0.08,0.42,8,4.31,0
CUST005962,7.12,1,0.3,0.15,10,4.25,0
CUST005963,16.8,11,0.33,0.3,10,1.56,1
CUST005964,9.91,16,1.0,0.08,0,4.79,1
CUST005965,16.66,24,0.97,0.09,4,1.85,1
CUST005966,1.32,10,0.72,0.32,10,1.71,1
CUST005967,16.03,6,0.3,0.07,6,2.69,1
CUST005968,2.73,6,0.26,0.19,5,4.41,1
CUST005969,16.06,10,0.44,0.36,4,3.27,0
CUST005970,7.48,23,0.73,0.34,8,3.48,0
CUST005971,12.74,3,0.68,0.19,2,4.48,0
CUST005972,4.08,1,0.88,0.17,3,1.5,1
CUST005973,12.4,25,0.38,0.41,4,2.72,0
CUST005974,13.7,4,0.31,0.1,7,2.55,0
CUST005975,12.53,17,0.66,0.29,8,4.95,0
CUST005976,14.13,4,0.93,0.06,7,1.25,0
CUST005977,6.91,9,0.14,0.26,1,3.08,0
CUST005978,11.93,3,0.75,0.49,5,4.51,1
CUST005979,3.25,7,0.34,0.13,8,1.71,0
CUST005980,11.35,24,0.55,0.11,0,3.85,0
CUST005981,14.93,20,0.02,0.2,1,4.56,0
CUST005982,10.89,6,0.35,0.13,2,1.97,1
CUST005983,2.9,17,0.82,0.04,8,2.17,1
CUST005984,1.87,25,0.78,0.02,10,2.23,1
CUST005985,11.89,11,0.41,0.14,6,2.1,0
CUST005986,16.16,14,0.97,0.17,1,1.16,0
CUST005987,1.69,25,0.76,0.28,6,4.13,1
CUST005988,14.25,7,0.91,0.44,9,4.15,0
CUST005989,10.03,25,0.31,0.25,9,3.01,0
CUST005990,12.6,3,0.19,0.33,3,2.83,0
CUST005991,12.78,25,0.24,0.22,7,1.84,0
CUST005992,17.63,15,0.49,0.11,6,1.16,0
CUST005993,13.84,12,0.21,0.49,3,3.13,0
CUST005994,6.49,2,0.66,0.14,7,4.28,1
CUST005995,6.86,19,0.99,0.3,5,4.38,1
CUST005996,2.38,22,0.35,0.37,5,3.62,0
CUST005997,4.69,14,0.36,0.13,0,3.45,0
CUST005998,7.55,15,0.31,0.1,1,2.64,0
CUST005999,4.71,4,0.96,0.08,9,4.65,0
CUST006000,9.14,25,0.38,0.12,1,3.54,0
CUST006001,14.03,16,0.47,0.03,7,4.67,0
CUST006002,19.63,18,0.43,0.31,5,2.8,1
CUST006003,7.12,2,0.08,0.23,10,4.27,0
CUST006004,1.32,10,0.58,0.44,8,1.87,0
CUST006005,4.48,10,0.77,0.13,0,1.77,0
CUST006006,8.18,2,0.39,0.44,4,3.47,0
CUST006007,8.71,5,0.53,0.48,4,1.45,0
CUST006008,4.95,5,0.96,0.48,4,1.71,1
CUST006009,3.76,14,0.42,0.02,1,3.62,0
CUST006010,2.47,12,0.06,0.24,1,4.83,0
CUST006011,9.11,24,0.36,0.5,4,3.13,0
CUST006012,8.13,1,0.39,0.1,4,3.05,0
CUST006013,9.34,23,0.27,0.08,1,2.24,0
CUST006014,10.66,17,0.06,0.08,9,4.79,0
CUST006015,11.31,4,0.06,0.35,5,1.25,1
CUST006016,15.04,9,0.75,0.33,5,3.93,0
CUST006017,2.67,4,0.73,0.07,2,2.36,1
CUST006018,18.91,19,0.5,0.48,1,1.36,1
CUST006019,10.07,9,0.06,0.32,4,1.31,0
CUST006020,4.33,18,0.26,0.37,8,1.66,0
CUST006021,17.09,3,0.13,0.02,8,2.58,0
CUST006022,19.61,23,0.11,0.05,8,4.0,0
CUST006023,6.93,18,0.72,0.1,10,2.84,1
CUST006024,6.04,13,0.45,0.38,0,4.05,0
CUST006025,10.8,14,0.93,0.13,1,1.96,0
CUST006026,12.66,9,0.62,0.02,0,3.43,1
CUST006027,8.11,4,0.75,0.4,9,3.21,1
CUST006028,1.03,16,0.64,0.37,0,2.0,1
CUST006029,9.83,12,0.97,0.15,6,1.89,0
CUST006030,5.01,9,0.56,0.47,2,3.43,0
CUST006031,6.76,18,0.64,0.31,3,3.39,1
CUST006032,4.03,6,0.63,0.22,2,1.07,0
CUST006033,11.26,19,0.99,0.17,1,4.86,0
CUST006034,2.83,1,0.73,0.06,7,2.09,1
CUST006035,11.85,23,0.59,0.39,2,3.46,0
CUST006036,12.28,22,0.91,0.23,8,1.9,1
CUST006037,4.07,14,0.4,0.36,0,1.17,0
CUST006038,3.45,9,0.11,0.29,9,1.97,0
CUST006039,4.16,25,0.59,0.38,3,2.33,1
CUST006040,11.99,8,0.1,0.47,0,2.35,1
CUST006041,19.95,20,0.98,0.39,10,1.08,1
CUST006042,11.33,17,0.09,0.45,4,4.16,0
CUST006043,19.47,13,0.61,0.26,9,3.08,1
CUST006044,8.34,19,0.47,0.32,4,4.73,0
CUST006045,12.32,20,0.86,0.43,1,3.08,0
CUST006046,7.6,9,0.64,0.22,10,1.33,1
CUST006047,8.18,1,0.99,0.02,1,3.79,1
CUST006048,16.98,7,0.65,0.28,4,3.83,0
CUST006049,9.16,19,0.09,0.48,2,2.73,0
CUST006050,13.64,19,0.53,0.03,1,4.81,0
CUST006051,16.06,8,0.15,0.49,2,3.95,0
CUST006052,9.97,8,0.61,0.05,3,3.24,0
CUST006053,2.4,24,0.54,0.28,1,4.5,0
CUST006054,14.78,5,0.25,0.44,3,3.29,0
CUST006055,12.52,4,0.17,0.43,9,4.72,1
CUST006056,15.72,7,0.94,0.15,1,4.44,0
CUST006057,10.29,1,0.16,0.33,6,3.74,1
CUST006058,6.45,7,0.03,0.1,7,2.6,0
CUST006059,4.18,24,0.19,0.2,10,4.85,0
CUST006060,15.52,12,0.32,0.48,5,3.58,0
CUST006061,9.65,13,0.47,0.21,10,1.93,0
CUST006062,8.35,9,0.53,0.26,7,4.05,0
CUST006063,7.82,21,0.72,0.29,2,4.85,1
CUST006064,8.32,12,0.9,0.41,3,3.55,0
CUST006065,13.44,22,0.08,0.48,3,1.43,0
CUST006066,11.7,9,0.33,0.21,6,3.44,1
CUST006067,18.27,1,0.46,0.49,6,3.37,0
CUST006068,4.05,2,0.19,0.36,0,1.2,0
CUST006069,10.13,17,0.15,0.22,4,4.0,0
CUST006070,9.72,4,0.16,0.13,4,2.47,1
CUST006071,2.32,9,0.58,0.3,2,1.25,0
CUST006072,8.64,1,0.41,0.17,7,3.23,0
CUST006073,7.57,17,0.42,0.4,1,1.65,0
CUST006074,12.76,12,0.51,0.15,4,3.91,0
CUST006075,11.47,15,0.48,0.33,3,4.21,0
CUST006076,19.48,9,0.63,0.44,7,1.0,0
CUST006077,11.07,9,0.21,0.05,2,3.13,0
CUST006078,15.19,15,0.41,0.34,2,2.96,1
CUST006079,9.3,8,0.29,0.19,10,2.4,0
CUST006080,13.28,8,0.12,0.05,8,3.64,0
CUST006081,11.38,5,0.43,0.08,1,2.64,1
CUST006082,16.0,12,0.89,0.35,8,1.24,1
CUST006083,13.74,4,0.24,0.16,4,1.78,0
CUST006084,15.74,17,0.65,0.31,4,3.67,0
CUST006085,5.5,1,0.44,0.32,1,3.55,0
CUST006086,16.05,4,0.29,0.39,3,2.76,0
CUST006087,13.73,9,0.46,0.47,3,1.72,0
CUST006088,13.83,22,0.58,0.09,8,1.26,0
CUST006089,16.18,19,0.16,0.09,8,4.91,0
CUST006090,14.63,21,0.25,0.3,7,3.14,0
CUST006091,17.04,1,0.73,0.42,2,1.85,0
CUST006092,13.16,11,0.04,0.03,8,3.85,0
CUST006093,1.46,11,0.58,0.42,0,2.52,0
CUST006094,1.85,6,0.71,0.46,1,3.87,0
CUST006095,11.99,24,0.23,0.01,6,3.78,0
CUST006096,5.39,9,0.86,0.23,9,3.12,1
CUST006097,15.32,13,0.78,0.32,10,4.75,0
CUST006098,19.66,20,0.95,0.41,9,3.82,0
CUST006099,13.6,4,0.1,0.14,6,1.02,0
CUST006100,3.61,7,0.44,0.07,3,4.61,1
CUST006101,16.31,11,0.07,0.12,5,4.28,0
CUST006102,16.26,8,0.95,0.5,8,4.91,1
CUST006103,8.79,8,0.25,0.38,6,2.2,0
CUST006104,16.32,1,0.53,0.4,1,2.1,1
CUST006105,10.65,5,0.56,0.47,3,2.07,1
CUST006106,18.8,2,0.8,0.37,3,4.15,0
CUST006107,12.5,18,0.24,0.09,1,4.47,0
CUST006108,14.78,18,0.21,0.31,7,2.79,0
CUST006109,4.01,8,0.53,0.14,3,1.38,1
CUST006110,9.87,4,0.59,0.02,0,2.61,1
CUST006111,5.9,19,0.03,0.06,6,1.56,1
CUST006112,4.47,9,0.8,0.22,10,1.59,1
CUST006113,2.91,15,0.3,0.4,3,2.46,1
CUST006114,4.04,8,0.4,0.28,9,1.12,1
CUST006115,12.93,9,0.4,0.0,9,3.7,0
CUST006116,14.54,21,0.63,0.17,3,3.12,1
CUST006117,8.36,23,0.7,0.29,4,1.33,1
CUST006118,13.22,22,0.69,0.19,0,4.5,0
CUST006119,17.02,16,0.18,0.45,3,2.76,0
CUST006120,14.75,11,0.81,0.25,1,2.6,1
CUST006121,18.39,19,0.23,0.13,3,2.45,0
CUST006122,17.33,9,0.94,0.11,0,4.46,0
CUST006123,5.91,12,0.97,0.3,5,1.03,0
CUST006124,1.65,18,0.15,0.09,2,4.07,1
CUST006125,5.23,4,0.97,0.32,10,3.77,0
CUST006126,5.14,22,0.89,0.33,4,4.46,1
CUST006127,19.17,6,0.13,0.05,3,4.21,0
CUST006128,17.46,24,0.58,0.18,2,3.61,0
CUST006129,6.81,7,0.24,0.24,3,1.86,1
CUST006130,10.19,15,0.96,0.42,0,4.77,0
CUST006131,16.32,8,0.35,0.41,9,4.69,0
CUST006132,18.99,4,0.68,0.11,3,1.16,1
CUST006133,3.8,25,0.97,0.23,4,4.42,0
CUST006134,9.84,14,0.66,0.01,2,2.0,0
CUST006135,9.29,6,0.63,0.09,7,4.06,0
CUST006136,7.92,6,0.82,0.05,5,3.72,1
CUST006137,6.57,6,0.8,0.2,10,3.66,0
CUST006138,18.75,14,0.02,0.01,1,4.08,1
CUST006139,13.28,6,0.29,0.25,3,1.17,1
CUST006140,4.66,14,0.42,0.42,1,2.92,0
CUST006141,12.14,23,0.87,0.15,2,3.8,1
CUST006142,17.37,17,0.2,0.18,8,4.92,0
CUST006143,19.68,17,0.22,0.03,9,2.08,0
CUST006144,8.56,19,0.44,0.31,5,4.6,0
CUST006145,7.28,6,0.85,0.05,9,1.17,1
CUST006146,10.58,19,0.06,0.2,3,4.59,0
CUST006147,5.59,14,0.71,0.15,2,1.18,0
CUST006148,11.58,15,0.83,0.2,4,3.47,1
CUST006149,18.1,20,0.79,0.1,3,3.93,0
CUST006150,10.54,25,0.75,0.25,0,1.51,1
CUST006151,11.83,10,0.49,0.26,6,4.52,0
CUST006152,18.0,15,0.45,0.23,1,3.06,0
CUST006153,10.87,4,0.95,0.32,2,2.11,0
CUST006154,11.1,8,0.63,0.32,8,3.34,0
CUST006155,4.38,4,0.03,0.17,8,2.71,0
CUST006156,2.17,21,0.81,0.17,9,4.65,0
CUST006157,3.93,5,0.06,0.24,0,1.76,1
CUST006158,18.81,18,0.01,0.21,3,4.71,0
CUST006159,8.3,8,0.09,0.15,0,2.99,0
CUST006160,4.52,20,0.47,0.42,8,4.49,0
CUST006161,1.94,8,0.16,0.14,8,3.38,0
CUST006162,7.86,11,0.84,0.36,8,1.4,1
CUST006163,12.87,9,0.11,0.13,4,1.71,1
CUST006164,4.29,5,0.62,0.28,2,1.7,1
CUST006165,19.81,16,0.42,0.05,3,1.48,1
CUST006166,12.09,8,0.98,0.29,10,4.8,1
CUST006167,9.44,5,0.44,0.25,9,3.79,0
CUST006168,7.98,14,0.86,0.01,10,2.76,0
CUST006169,10.71,24,0.61,0.14,5,2.71,1
CUST006170,10.21,22,0.69,0.39,4,3.95,0
CUST006171,7.49,11,1.0,0.42,0,2.04,1
CUST006172,4.71,1,0.31,0.23,0,4.4,0
CUST006173,15.79,23,0.85,0.14,0,3.37,0
CUST006174,6.38,24,0.11,0.34,0,1.57,1
CUST006175,13.69,6,0.65,0.41,10,1.56,1
CUST006176,15.89,3,1.0,0.43,3,4.01,0
CUST006177,13.58,4,0.42,0.37,7,3.9,0
CUST006178,13.0,18,0.8,0.22,10,1.49,1
CUST006179,11.62,21,0.27,0.19,9,1.07,1
CUST006180,8.27,5,0.81,0.27,5,1.04,1
CUST006181,9.93,22,0.29,0.24,1,2.62,0
CUST006182,18.71,17,0.04,0.34,10,4.4,0
CUST006183,19.23,10,0.18,0.27,4,1.17,1
CUST006184,10.48,18,0.13,0.42,2,1.46,0
CUST006185,10.75,19,0.52,0.49,8,3.62,0
CUST006186,6.47,16,0.24,0.06,8,4.03,0
CUST006187,14.12,3,0.61,0.02,2,4.05,1
CUST006188,13.2,25,0.96,0.29,4,2.22,0
CUST006189,8.25,2,0.18,0.36,5,3.83,0
CUST006190,4.81,2,0.16,0.04,8,4.65,0
CUST006191,5.43,1,0.34,0.14,0,2.65,0
CUST006192,14.57,1,0.87,0.09,10,3.75,1
CUST006193,7.7,8,0.98,0.15,6,1.03,1
CUST006194,10.8,11,0.15,0.02,1,3.79,0
CUST006195,14.91,17,0.46,0.34,4,3.15,0
CUST006196,12.97,13,0.6,0.33,6,1.8,0
CUST006197,6.11,8,0.44,0.22,6,4.1,0
CUST006198,7.98,9,0.16,0.13,8,1.86,1
CUST006199,14.9,11,0.47,0.35,5,2.66,0
CUST006200,17.9,12,0.98,0.33,4,4.46,0
CUST006201,10.65,19,0.93,0.42,6,4.97,0
CUST006202,12.84,18,0.78,0.27,0,2.04,0
CUST006203,7.74,2,0.89,0.03,6,3.37,1
CUST006204,8.08,14,0.39,0.44,9,4.42,0
CUST006205,12.38,18,0.27,0.24,7,2.63,0
CUST006206,7.72,1,0.1,0.27,9,2.21,0
CUST006207,13.56,17,0.32,0.22,2,1.21,1
CUST006208,19.86,2,0.51,0.01,4,3.16,0
CUST006209,17.54,4,0.77,0.35,6,1.56,1
CUST006210,13.5,17,0.77,0.29,1,4.57,0
CUST006211,6.26,17,0.24,0.43,0,3.5,0
CUST006212,1.03,24,0.35,0.43,4,1.11,0
CUST006213,1.06,21,0.28,0.46,2,4.61,0
CUST006214,10.86,16,0.55,0.17,7,1.97,0
CUST006215,16.49,8,0.11,0.24,8,3.54,1
CUST006216,2.97,23,0.52,0.29,3,3.97,0
CUST006217,5.46,3,0.29,0.28,6,4.93,0
CUST006218,5.13,5,0.99,0.36,10,4.3,1
CUST006219,2.7,23,0.3,0.03,6,2.49,0
CUST006220,19.64,10,0.11,0.28,2,1.02,0
CUST006221,14.54,21,0.2,0.06,10,2.35,0
CUST006222,15.65,10,0.11,0.11,6,1.03,0
CUST006223,19.4,1,0.59,0.36,3,3.61,0
CUST006224,3.74,25,0.59,0.07,2,2.6,0
CUST006225,11.81,24,0.56,0.06,8,1.14,0
CUST006226,16.17,4,0.73,0.04,4,1.51,0
CUST006227,17.96,9,0.77,0.5,1,2.02,1
CUST006228,10.27,2,0.24,0.31,6,1.46,1
CUST006229,3.42,21,0.07,0.35,6,2.98,1
CUST006230,12.74,25,0.88,0.37,5,2.85,0
CUST006231,19.7,2,0.46,0.06,2,4.97,0
CUST006232,1.43,8,0.55,0.15,10,3.01,0
CUST006233,11.62,18,0.24,0.28,10,4.02,1
CUST006234,6.06,7,0.38,0.13,0,4.28,0
CUST006235,14.77,16,0.87,0.09,6,1.29,1
